nifti_value,original_label,source_atlas,hemi,main_label,secondary_label,extra
1,Yeo7_LH_Vis_1,Yeo7,LH,Vis,1,
2,Yeo7_LH_Vis_2,Yeo7,LH,Vis,2,
3,Yeo7_LH_Vis_3,Yeo7,LH,Vis,3,
4,Yeo7_LH_Vis_4,Yeo7,LH,Vis,4,
5,Yeo7_LH_Vis_5,Yeo7,LH,Vis,5,
6,Yeo7_LH_Vis_6,Yeo7,LH,Vis,6,
7,Yeo7_LH_Vis_7,Yeo7,LH,Vis,7,
8,Yeo7_LH_Vis_8,Yeo7,LH,Vis,8,
9,Yeo7_LH_Vis_9,Yeo7,LH,Vis,9,
10,Yeo7_LH_SomMot_1,Yeo7,LH,SomMot,1,
11,Yeo7_LH_SomMot_2,Yeo7,LH,SomMot,2,
12,Yeo7_LH_SomMot_3,Yeo7,LH,SomMot,3,
13,Yeo7_LH_SomMot_4,Yeo7,LH,SomMot,4,
14,Yeo7_LH_SomMot_5,Yeo7,LH,SomMot,5,
15,Yeo7_LH_SomMot_6,Yeo7,LH,SomMot,6,
16,Yeo7_LH_DorsAttn_Post_1,Yeo7,LH,DorsAttn,Post,1
17,Yeo7_LH_DorsAttn_Post_2,Yeo7,LH,DorsAttn,Post,2
18,Yeo7_LH_DorsAttn_Post_3,Yeo7,LH,DorsAttn,Post,3
19,Yeo7_LH_DorsAttn_Post_4,Yeo7,LH,DorsAttn,Post,4
20,Yeo7_LH_DorsAttn_Post_5,Yeo7,LH,DorsAttn,Post,5
21,Yeo7_LH_DorsAttn_Post_6,Yeo7,LH,DorsAttn,Post,6
22,Yeo7_LH_DorsAttn_FEF_1,Yeo7,LH,DorsAttn,FEF,1
23,Yeo7_LH_DorsAttn_FEF_2,Yeo7,LH,DorsAttn,FEF,2
24,Yeo7_LH_SalVentAttn_ParOper_1,Yeo7,LH,SalVentAttn,ParOper,1
25,Yeo7_LH_SalVentAttn_FrOper_1,Yeo7,LH,SalVentAttn,FrOper,1
26,Yeo7_LH_SalVentAttn_FrOper_2,Yeo7,LH,SalVentAttn,FrOper,2
27,Yeo7_LH_SalVentAttn_PFCl_1,Yeo7,LH,SalVentAttn,PFCl,1
28,Yeo7_LH_SalVentAttn_Med_1,Yeo7,LH,SalVentAttn,Med,1
29,Yeo7_LH_SalVentAttn_Med_2,Yeo7,LH,SalVentAttn,Med,2
30,Yeo7_LH_SalVentAttn_Med_3,Yeo7,LH,SalVentAttn,Med,3
31,Yeo7_LH_Limbic_OFC_1,Yeo7,LH,Limbic,OFC,1
32,Yeo7_LH_Limbic_TempPole_1,Yeo7,LH,Limbic,TempPole,1
33,Yeo7_LH_Limbic_TempPole_2,Yeo7,LH,Limbic,TempPole,2
34,Yeo7_LH_Cont_Par_1,Yeo7,LH,Cont,Par,1
35,Yeo7_LH_Cont_PFCl_1,Yeo7,LH,Cont,PFCl,1
36,Yeo7_LH_Cont_pCun_1,Yeo7,LH,Cont,pCun,1
37,Yeo7_LH_Cont_Cing_1,Yeo7,LH,Cont,Cing,1
38,Yeo7_LH_Default_Temp_1,Yeo7,LH,Default,Temp,1
39,Yeo7_LH_Default_Temp_2,Yeo7,LH,Default,Temp,2
40,Yeo7_LH_Default_Temp_3,Yeo7,LH,Default,Temp,3
41,Yeo7_LH_Default_Temp_4,Yeo7,LH,Default,Temp,4
42,Yeo7_LH_Default_PFC_1,Yeo7,LH,Default,PFC,1
43,Yeo7_LH_Default_PFC_2,Yeo7,LH,Default,PFC,2
44,Yeo7_LH_Default_PFC_3,Yeo7,LH,Default,PFC,3
45,Yeo7_LH_Default_PFC_4,Yeo7,LH,Default,PFC,4
46,Yeo7_LH_Default_PFC_5,Yeo7,LH,Default,PFC,5
47,Yeo7_LH_Default_PFC_6,Yeo7,LH,Default,PFC,6
48,Yeo7_LH_Default_PFC_7,Yeo7,LH,Default,PFC,7
49,Yeo7_LH_Default_PCC_1,Yeo7,LH,Default,PCC,1
50,Yeo7_LH_Default_PCC_2,Yeo7,LH,Default,PCC,2
51,OxTh_LH_Thalamus_PrimaryMotor,OxTh,LH,Thalamus,PrimaryMotor,
52,OxTh_LH_Thalamus_Sensory,OxTh,LH,Thalamus,Sensory,
53,OxTh_LH_Thalamus_Occipital,OxTh,LH,Thalamus,Occipital,
54,OxTh_LH_Thalamus_Prefrontal,OxTh,LH,Thalamus,Prefrontal,
55,OxTh_LH_Thalamus_Premotor,OxTh,LH,Thalamus,Premotor,
56,OxTh_LH_Thalamus_PosteriorParietal,OxTh,LH,Thalamus,PosteriorParietal,
57,OxTh_LH_Thalamus_Temporal,OxTh,LH,Thalamus,Temporal,
58,OxStr7_LH_Striatum_Limbic,OxStr7,LH,Striatum,Limbic,
59,OxStr7_LH_Striatum_Executive,OxStr7,LH,Striatum,Executive,
60,OxStr7_LH_Striatum_MotorRostral,OxStr7,LH,Striatum,MotorRostral,
61,OxStr7_LH_Striatum_MotorCaudal,OxStr7,LH,Striatum,MotorCaudal,
62,OxStr7_LH_Striatum_Parietal,OxStr7,LH,Striatum,Parietal,
63,OxStr7_LH_Striatum_Occipital,OxStr7,LH,Striatum,Occipital,
64,OxStr7_LH_Striatum_Temporal,OxStr7,LH,Striatum,Temporal,
65,HOSub_LH_Hippocampus,HOSub,LH,Hippocampus,,
66,HOSub_LH_Amygdala,HOSub,LH,Amygdala,,